,Year,Annual Average Temperature Anomaly (celsius)
0,1750,-0.9619166666666666
1,1751,-1.1513333333333333
2,1752,-0.41016666666666673
3,1753,-0.7487499999999999
4,1754,-0.2030833333333333
5,1755,-0.5554166666666667
6,1756,-0.30683333333333335
7,1757,-0.1305833333333334
8,1758,-2.196
9,1759,-1.1804166666666667
10,1760,-2.079166666666667
11,1761,-0.4795833333333334
12,1762,-0.6525
13,1763,-1.66075
14,1764,-0.6150833333333333
15,1765,-0.4080000000000001
16,1766,-0.40758333333333335
17,1767,-0.5449999999999999
18,1768,-1.902
19,1769,-0.9686666666666666
20,1770,-0.9551666666666668
21,1771,-1.0065
22,1772,-0.46849999999999997
23,1773,-0.29258333333333336
24,1774,0.10633333333333332
25,1775,0.1798333333333334
26,1776,-0.8895833333333333
27,1777,-0.9137500000000002
28,1778,-0.6945833333333332
29,1779,-0.21933333333333338
30,1780,0.29658333333333337
31,1781,-0.45091666666666663
32,1782,-0.6394166666666666
33,1783,-0.8534999999999999
34,1784,-0.7165833333333332
35,1785,-0.9149999999999999
36,1786,-0.6063333333333334
37,1787,-0.5031666666666667
38,1788,-0.2838333333333333
39,1789,-0.16391666666666668
40,1790,-0.41241666666666665
41,1791,-0.13508333333333333
42,1792,-0.3781666666666666
43,1793,-0.2394166666666666
44,1794,0.13641666666666663
45,1795,0.21266666666666667
46,1796,-0.13783333333333336
47,1797,0.0555833333333333
48,1798,0.028833333333333305
49,1799,-0.4586666666666668
50,1800,-0.34016666666666673
51,1801,0.34575
52,1802,0.1953333333333334
53,1803,0.017666666666666647
54,1804,0.07875000000000004
55,1805,-0.07324999999999997
56,1806,-0.1988333333333334
57,1807,-0.44166666666666665
58,1808,-1.0290000000000001
59,1809,-1.436
60,1810,-1.5442500000000001
61,1811,-1.5636666666666665
62,1812,-1.4281666666666668
63,1813,-0.8365000000000001
64,1814,-0.9531666666666667
65,1815,-1.3487500000000001
66,1816,-1.6979166666666663
67,1817,-1.4247500000000002
68,1818,-0.42199999999999993
69,1819,-1.2280833333333334
70,1820,-0.9519166666666666
71,1821,-0.6359166666666667
72,1822,-0.5480833333333334
73,1823,-0.8290833333333333
74,1824,-0.19808333333333336
75,1825,-0.39516666666666667
76,1826,-0.23058333333333336
77,1827,0.13475000000000004
78,1828,-0.5169166666666666
79,1829,-0.7123333333333334
80,1830,-0.03708333333333335
81,1831,-0.88925
82,1832,-1.0675833333333333
83,1833,-0.5085833333333333
84,1834,-0.4005833333333333
85,1835,-1.1491666666666667
86,1836,-0.875
87,1837,-1.1413333333333335
88,1838,-1.0164166666666665
89,1839,-0.8004166666666666
90,1840,-0.7575833333333333
91,1841,-0.9427499999999999
92,1842,-0.5470833333333334
93,1843,-0.44875
94,1844,-0.9790000000000001
95,1845,-0.8525833333333334
96,1846,-0.04974999999999999
97,1847,-0.5444166666666667
98,1848,-0.645
99,1849,-0.6411666666666668
100,1850,-0.7405833333333333
101,1851,-0.4864166666666667
102,1852,-0.5937499999999999
103,1853,-0.5942500000000001
104,1854,-0.4004999999999999
105,1855,-0.4628333333333334
106,1856,-0.5671666666666667
107,1857,-0.8184166666666668
108,1858,-0.4216666666666667
109,1859,-0.24133333333333332
110,1860,-0.6369166666666667
111,1861,-0.6938333333333334
112,1862,-1.0671666666666668
113,1863,-0.43383333333333335
114,1864,-0.6033333333333334
115,1865,-0.39325000000000004
116,1866,-0.2784166666666667
117,1867,-0.12575000000000003
118,1868,-0.40225
119,1869,-0.17241666666666666
120,1870,-0.4446666666666666
121,1871,-0.5634166666666667
122,1872,-0.48233333333333334
123,1873,-0.31116666666666665
124,1874,-0.18525000000000003
125,1875,-0.7070833333333333
126,1876,-0.47266666666666673
127,1877,-0.0545
128,1878,0.30741666666666667
129,1879,-0.4013333333333333
130,1880,-0.5160833333333333
131,1881,-0.28950000000000004
132,1882,-0.4477500000000001
133,1883,-0.5433333333333332
134,1884,-0.7491666666666665
135,1885,-0.5958333333333333
136,1886,-0.6135
137,1887,-0.6476666666666667
138,1888,-0.4181666666666668
139,1889,-0.2193333333333333
140,1890,-0.6045833333333334
141,1891,-0.5488333333333333
142,1892,-0.5206666666666667
143,1893,-0.5194166666666667
144,1894,-0.3914166666666667
145,1895,-0.38791666666666663
146,1896,-0.3413333333333333
147,1897,-0.24716666666666665
148,1898,-0.3919166666666667
149,1899,-0.1435
150,1900,-0.026249999999999996
151,1901,-0.021499999999999995
152,1902,-0.27625
153,1903,-0.351
154,1904,-0.48641666666666666
155,1905,-0.32808333333333334
156,1906,-0.1718333333333333
157,1907,-0.5884999999999999
158,1908,-0.37266666666666665
159,1909,-0.38158333333333333
160,1910,-0.3406666666666667
161,1911,-0.4051666666666667
162,1912,-0.42191666666666666
163,1913,-0.28974999999999995
164,1914,0.019583333333333328
165,1915,-0.018499999999999996
166,1916,-0.3692499999999999
167,1917,-0.5900833333333333
168,1918,-0.4679166666666667
169,1919,-0.22616666666666663
170,1920,-0.25758333333333333
171,1921,-0.049916666666666665
172,1922,-0.22008333333333333
173,1923,-0.2090833333333333
174,1924,-0.13741666666666663
175,1925,-0.11449999999999998
176,1926,0.07016666666666667
177,1927,-0.15158333333333332
178,1928,-0.043833333333333356
179,1929,-0.45716666666666667
180,1930,-0.07116666666666667
181,1931,0.029916666666666657
182,1932,0.014833333333333332
183,1933,-0.3443333333333334
184,1934,-0.06716666666666667
185,1935,-0.18616666666666667
186,1936,-0.14333333333333334
187,1937,0.010750000000000001
188,1938,0.18083333333333332
189,1939,0.08875
190,1940,0.08441666666666665
191,1941,0.06708333333333334
192,1942,0.031416666666666655
193,1943,0.06341666666666666
194,1944,0.159
195,1945,-0.11125
196,1946,-0.008666666666666675
197,1947,0.11416666666666665
198,1948,0.05383333333333332
199,1949,-0.10666666666666669
200,1950,-0.31208333333333343
201,1951,-0.05008333333333335
202,1952,-0.02975
203,1953,0.19991666666666663
204,1954,-0.10925000000000003
205,1955,-0.04249999999999999
206,1956,-0.39266666666666666
207,1957,-0.004833333333333328
208,1958,0.08783333333333332
209,1959,0.07674999999999998
210,1960,-0.09624999999999996
211,1961,0.121
212,1962,0.05916666666666665
213,1963,0.18066666666666664
214,1964,-0.27891666666666665
215,1965,-0.14475
216,1966,-0.05975
217,1967,0.03833333333333332
218,1968,-0.15741666666666668
219,1969,-0.06541666666666668
220,1970,0.050916666666666666
221,1971,-0.04800000000000001
222,1972,-0.15616666666666665
223,1973,0.3225833333333334
224,1974,-0.169
225,1975,0.11925000000000001
226,1976,-0.268
227,1977,0.2549166666666667
228,1978,0.08524999999999999
229,1979,0.1035
230,1980,0.3726666666666667
231,1981,0.5463333333333333
232,1982,0.042666666666666665
233,1983,0.42424999999999996
234,1984,0.07833333333333335
235,1985,0.05716666666666667
236,1986,0.24716666666666665
237,1987,0.40625
238,1988,0.6095833333333334
239,1989,0.33875000000000005
240,1990,0.6461666666666667
241,1991,0.5960833333333334
242,1992,0.23274999999999998
243,1993,0.28024999999999994
244,1994,0.45058333333333334
245,1995,0.7565000000000001
246,1996,0.44524999999999987
247,1997,0.5896666666666666
248,1998,0.9297500000000002
249,1999,0.6799166666666667
250,2000,0.5954999999999999
251,2001,0.8035000000000001
252,2002,0.97225
253,2003,0.9200833333333333
254,2004,0.7273333333333333
255,2005,1.1083333333333336
256,2006,0.9373333333333335
257,2007,1.1329999999999998
258,2008,0.8381666666666668
259,2009,0.9291666666666667
260,2010,1.100916666666667
261,2011,0.9249166666666667
262,2012,0.8842500000000001
263,2013,0.9984166666666666
264,2014,0.9706666666666667
265,2015,1.2328333333333332
266,2016,1.4374166666666668
267,2017,1.3114166666666667